idalumno|mrbd|codigocurso|numerolista|sexo|serie|puntaje|ponderador|mrun
2016|79595|634|19|F|8023327|640.64|3.05|752
2449|11340|895|32|M|8030233|488.61|25.9|8392
7583|98661|5132|12|F|8168933|475.97|45.46|8556
3240|50916|1921|19|F|8065357|368.72|10.76|10372
9205|49979|7581|7|F|8246676|489.32|41.63|14219
3587|43126|2034|11|F|8068899|475.27|10.02|15549
7355|23112|4802|40|F|8159174|508.84|22.79|18128
8500|5622|6569|28|F|8215369|487.27|63.25|18762
976|7047|507|23|M|8019099|||24948
8360|31570|6253|8|F|8204621|707.21|317.71|26088
6321|4258|3513|9|F|8120497|623.85|16.4|29380
579|49960|467|3|F|8017946|402.09|3.51|30877
3983|6036|2157|21|F|8073499|290.94|10.02|34945
10104|26231|8385|18|F|8270965|466.79|35.37|36128
3164|42433|1899|9|M|8064843|576.16|10.76|40370
3390|28818|2014|29|F|8068114|508.60|10.76|44699
522|49960|465|22|M|8017879|460.76|3.51|45191
10141|92229|8472|17|F|8273698|427.37|35.37|45603
1479|51417|557|22|F|8020466|702.92|6.24|46667
7616|98661|5133|10|F|8168971|||49410
10105|26231|8385|19|F|8270966|617.93|35.37|51967
7697|27006|5280|26|F|8173916|447.70|29.67|53850
7465|40921|5003|10|M|8165187|572.50|45.46|56022
5960|42707|3343|35|M|8115380|419.47|11.63|57043
5951|42707|3343|26|F|8115371|474.14|11.63|60770
2318|35866|861|24|M|8029035|455.85|30.34|62278
5476|29794|3137|44|F|8108883|451.86|6.1|64268
1889|9384|623|10|F|8022920|436.79|10.23|66558
6141|69157|3449|41|F|8118687|||70687
1471|51417|557|14|M|8020458|468.26|6.24|78307
8131|90234|5599|6|M|8183579|325.17|45.46|84462
3519|12072|2023|19|F|8068445|576.15|10.02|84972
1858|42868|591|9|M|8021816|438.79|6.24|85063
1081|82259|510|25|F|8019215|436.79|2.61|85823
6665|9594|4053|12|M|8138665|576.16|227.66|86023
9662|66882|8002|11|F|8260085|570.95|35.37|92753
4298|52577|2223|14|M|8075711|382.27|9.57|93916
1111|55576|514|13|F|8019377|407.61|2.67|95893
794|98249|489|4|M|8018582|429.59|2.67|97048
4984|43448|3024|3|M|8104908|414.62|6.1|97500
