mrbd;codigoCurso;p1;p2;p3_1;p3_2;p3_3;p3_4;p3_5;p4_1;p4_2;p4_3;p4_4;p4_5;p4_6;p4_7;p4_8;p5_1;p5_2;p5_3;p5_4;p5_5;p6_1;p6_2;p6_3;p6_4;p6_5;p6_6;p7_1;p7_2;p7_3;p7_4;p7_5;p7_6;p8_1;p8_2;p8_3;p8_4;p8_5;p8_6;p8_7;p8_8;p9_1;p9_2;p9_3;p9_4;p9_5;p10_1;p10_2;p10_3;p10_4;p10_5;p10_6;p10_7;p10_8;p10_9;p10_10;p11_1;p11_2;p11_3;p11_4;p11_5;p12_1;p12_2;p12_3;p12_4;p12_5;p12_6;p12_7;p12_8;p12_9;p13_1;p13_2;p13_3;p13_4;p13_5;p13_6;p13_7;p14_1;p14_2;p14_3;p14_4;p14_5;p15_1;p15_2;p15_3;p15_4;p15_5;p15_6;p15_7;p15_8;p15_9;p15_10;p15_11;p15_12;p15_13;p16_1;p16_2;p16_3;p16_4;p16_5;p16_6;p16_7;p17_1;p17_2;p17_3;p17_4;p17_5;p17_6;p17_7;p17_8;p17_9;vnumregistro;noAplica
57502;6206;3;3;1;1;2;2;2;3;4;3;3;4;3;4;4;3;2;4;3;2;3;4;3;3;4;4;3;2;4;3;3;2;1;2;2;1;2;2;1;1;2;1;1;2;0;0;0;0;1;1;0;1;0;0;0;1;1;1;2;2;1;3;2;5;4;3;4;4;3;3;4;4;4;4;3;4;4;4;3;4;3;3;2;3;1;2;1;3;2;2;3;2;2;3;3;1;4;1;4;1;1;2;2;2;2;2;2;2;2;2;1;0
28764;8950;3;3;1;1;0;0;1;4;4;4;4;4;3;4;4;3;3;3;3;3;3;3;3;3;3;3;4;3;4;4;4;3;1;1;1;1;1;1;1;1;0;1;1;2;1;0;0;0;0;1;0;1;1;0;0;1;1;1;1;1;3;2;3;3;3;3;3;3;3;4;4;4;4;4;3;4;4;4;4;4;4;2;3;2;2;3;0;2;2;2;2;2;2;2;3;1;4;1;3;1;1;2;2;2;2;2;2;2;2;2;2;0
54136;6323;1;3;1;1;1;1;1;4;4;4;4;4;4;4;4;3;3;3;3;2;4;4;4;3;4;3;3;3;3;4;3;4;1;1;1;1;1;1;1;1;2;1;1;1;1;1;0;0;1;1;0;0;0;0;0;1;1;1;1;1;4;4;3;4;0;4;3;5;4;3;3;3;3;3;3;3;4;4;3;3;3;1;2;2;2;2;2;3;2;1;2;2;2;2;3;2;3;2;3;1;1;2;2;2;2;2;2;2;2;2;3;0
31570;6252;3;1;1;1;1;2;1;4;4;4;4;3;4;4;4;4;4;4;4;4;3;3;4;3;3;4;4;3;3;4;4;4;1;1;1;1;1;2;1;2;2;1;1;2;1;0;0;0;1;0;1;1;0;0;0;1;1;1;1;2;3;3;2;4;3;3;4;3;5;4;4;4;4;3;3;3;4;4;4;4;4;2;2;3;1;3;2;2;2;2;2;2;2;2;3;1;3;1;3;2;2;2;2;2;2;2;2;2;2;2;4;0
20705;6748;3;1;1;1;2;2;1;4;4;4;4;4;4;4;4;3;3;4;4;4;3;3;3;3;3;3;3;3;3;4;3;4;1;1;1;1;1;2;1;2;2;1;1;2;1;0;1;0;1;1;0;0;0;0;0;1;1;1;1;1;3;5;4;5;4;3;3;4;5;4;4;4;4;4;4;4;4;4;4;4;3;2;3;3;2;3;2;2;2;2;3;2;3;2;4;1;4;1;4;1;2;2;2;2;2;2;2;2;2;2;5;0
98423;456;1;2;1;1;1;0;1;3;4;3;4;4;3;4;4;3;3;3;3;3;4;4;4;3;4;4;4;3;3;4;3;4;1;1;1;1;1;1;1;1;2;1;2;2;1;0;0;0;0;1;1;0;1;0;0;1;1;1;1;1;3;3;3;3;3;3;3;2;3;3;4;4;4;3;4;4;4;4;4;4;4;3;3;3;3;2;2;3;2;2;1;1;1;1;4;1;4;1;4;1;1;2;2;2;2;2;2;2;2;2;6;0
92805;663;2;3;1;0;0;0;0;4;4;4;4;3;3;3;4;3;3;4;4;4;3;4;4;3;4;4;4;3;4;3;3;4;1;1;1;1;2;2;1;1;1;1;2;2;1;1;0;0;0;1;0;1;0;0;0;1;1;2;1;2;4;2;4;4;3;4;4;2;4;4;4;3;3;3;3;3;4;4;3;4;4;2;2;2;2;3;2;3;3;3;3;3;3;2;3;0;3;0;3;0;2;2;2;2;2;2;2;2;2;2;7;0
38302;675;1;3;0;1;0;1;0;4;4;4;4;4;4;4;4;2;3;3;3;4;3;3;3;3;3;4;4;4;4;4;4;4;1;1;1;1;1;1;1;1;2;2;1;2;2;1;0;0;1;0;0;0;0;1;0;1;1;1;1;1;3;2;3;5;5;5;5;5;5;4;4;4;4;4;4;4;4;4;3;4;4;2;2;3;1;3;2;4;4;2;3;3;3;2;3;3;4;3;3;1;1;2;2;2;2;2;2;2;2;2;8;0
23752;681;1;2;1;1;1;2;2;4;4;4;4;4;4;4;4;3;3;3;3;2;4;4;4;4;4;4;4;3;3;4;3;4;1;2;2;2;1;1;1;2;2;1;2;2;1;0;0;0;1;0;1;0;1;0;0;1;1;1;1;1;3;2;5;5;5;3;5;2;4;4;4;4;4;4;4;4;3;3;3;3;4;2;2;2;1;1;2;2;3;3;2;2;2;2;4;1;4;1;4;1;1;2;2;2;2;2;2;2;2;2;9;0
63187;797;3;3;1;1;1;2;2;3;4;3;3;4;4;3;4;3;3;4;3;4;4;4;4;3;4;4;4;4;4;4;4;4;2;1;2;2;2;2;1;2;2;1;2;2;2;1;0;0;1;0;0;0;1;0;0;2;2;2;1;2;3;2;2;4;3;4;2;1;5;4;4;4;4;4;4;4;4;4;4;4;4;3;3;2;2;3;2;2;1;3;3;2;2;1;4;1;4;1;4;1;1;2;2;2;2;2;2;2;2;2;10;0
